(0,0)
(2,0)
(2,1)
(4,1)
(4,0)
(3,0)
(3,-3)
(0,-3)
(0,-8)
(5,-8)
(5,-6)
(4,-6)
(4,-2)
(5,-2)
(5,-5)
(10,-5)
(10,0)
(13,0)
(13,4)
(9,4)
(9,9)
(13,9)
(13,6)
(14,6)
(14,8)
(19,8)
(19,4)
(21,4)
(21,3)
(17,3)
(17,7)
(15,7)
(15,6)
(16,6)
(16,-184)
(13,-184)
(13,-188)
(-39,-188)
(-39,-183)
(-36,-183)
(-36,-178)
(-33,-178)
(-33,-180)
(-34,-180)
(-34,-185)
(-29,-185)
(-29,-181)
(-27,-181)
(-27,-178)
(-24,-178)
(-24,-177)
(-27,-177)
(-27,-172)
(-30,-172)
(-30,-176)
(-33,-176)
(-33,-99)
(-30,-99)
(-30,-97)
(159,-97)
(159,-101)
(157,-101)
(157,-103)
(155,-103)
(155,-104)
(150,-104)
(150,-100)
(154,-100)
(154,-102)
(156,-102)
(156,-100)
(151,-100)
(151,-101)
(150,-101)
(150,-99)
(147,-99)
(147,-103)
(152,-103)
(152,-104)
(153,-104)
(153,-102)
(151,-102)
(151,-100)
(148,-100)
(148,-97)
(144,-97)
(144,-98)
(149,-98)
(149,-94)
(145,-94)
(145,-91)
(150,-91)
(150,-89)
(154,-89)
(154,-94)
(151,-94)
(151,-96)
(153,-96)
(153,-92)
(151,-92)
(151,-90)
(146,-90)
(146,-94)
(143,-94)
(143,-93)
(141,-93)
(141,-91)
(145,-91)
(145,-90)
(141,-90)
(141,-94)
(143,-94)
(143,-96)
(147,-96)
(147,-95)
(146,-95)
(146,-91)
(145,-91)
(145,-94)
(147,-94)
(147,-92)
(142,-92)
(142,-87)
(144,-87)
(144,-92)
(145,-92)
(145,-87)
(147,-87)
(147,-91)
(143,-91)
(143,-93)
(138,-93)
(138,-98)
(133,-98)
(133,-93)
(129,-93)
(129,-91)
(130,-91)
(130,-92)
(127,-92)
(127,-95)
(130,-95)
(130,-91)
(127,-91)
(127,-93)
(129,-93)
(129,-91)
(131,-91)
(131,-90)
(128,-90)
(128,-88)
(133,-88)
(133,-93)
(137,-93)
(137,-96)
(140,-96)
(140,-92)
(142,-92)
(142,-87)
(147,-87)

